AT	GO	contig	O_sativa_locus_annotation	ProbeName	TargetID	Variance_population_Oil_	Variance_Residual	SumVariance	SampleVariance	PropVar_population_Oil_	PropVar_Residual	RSquare	N2RLL	AIC	AICC	BIC	F_T3_Oil	F_T3_State	NDF_T3_Oil	NDF_T3_State	DDF_T3_Oil	DDF_T3_State	PrF_T3_Oil	PrF_T3_State	NLP_T3_Oil	NLP_T3_State	Sig Index PrF_T3_Oil	Sig Index PrF_T3_State	Sum Sig Index for F-Tests	Avg Sig Index for F-Tests
AT3G16640	GO:0007067/GO:0090406/GO:0009506/GO:0001558/GO:0005774/GO:0046686/GO:0040014/GO:0005737/GO:0008283/GO:0005737/GO:0009819/GO:0009734/GO:0005634/GO:0048527/GO:0042742/GO:0048768/GO:0008017/GO:0009734/GO:0005774/GO:0042742/GO:0048364/GO:0090333/GO:0005774/GO:0007346/GO:0005829/GO:0007067/GO:0009507/GO:0001558/GO:0010252/GO:0009860/GO:0005886/GO:0009819/GO:0009860/GO:0048768/GO:0009790/GO:0031117/GO:0009791/GO:0005794/GO:0009579/GO:0048768/GO:0048046/GO:0031117/GO:0009860	S_alt_contig16123	LOC_Os11g43900.1|13111.m04379|cDNA	CUST_16410_PI428634872	S_alt_contig16123	0.01155	0.017577	0.0291267636	0.0963978586	0.396537	0.603463	0.8405488329	-27.1	-23.1	-22.7	-23.5	8.54	21.22	1	1	33	33	0.0062	<.0001	2.2063379895	4.2330097788	1	1	2	1
AT4G34670	GO:0005622/GO:0005886/GO:0022626/GO:0005618/GO:0009506/GO:0006412/GO:0022627/GO:0022626/GO:0022626/GO:0001510/GO:0022626/GO:0006412/GO:0022626/GO:0022626/GO:0022626/GO:0003735/GO:0022626/GO:0022626/GO:0005840/GO:0016020/GO:0005737/GO:0022627/GO:0006412/GO:0022627/GO:0001510/GO:0022627/GO:0005730/GO:0003735/GO:0022626/GO:0022627/GO:0022626/GO:0006412/GO:0022627/GO:0022627/GO:0005730/GO:0022626/GO:0005829/GO:0006412/GO:0022627/GO:0006412	S_alt_contig16132	LOC_Os02g18550.1|13102.m02079|cDNA	CUST_16412_PI428634872	S_alt_contig16132	0.014503	0.064518	0.0790204158	0.4527536845	0.183532	0.816468	0.8726563063	13.6	17.6	18.0	17.2	83.36	5.44	1	1	33	33	<.0001	0.0259	9.8231799639	1.5864635603	1	0	1	0.5
AT2G02760	GO:0010228/GO:0004842/GO:0006511/GO:0005634/GO:0005829/GO:0006511/GO:0006511/GO:0033523/GO:0010228/GO:0033523/GO:0009650/GO:0004842/GO:0006511/GO:0033523/GO:0004842/GO:0033523/GO:0006511/GO:0016881/GO:0006511	S_alt_contig16133	LOC_Os07g07240.2|13107.m09980|cDNA	CUST_16413_PI428634872	S_alt_contig16133	0.018519	0.036638	0.0551563361	0.1049549829	0.335751	0.664249	0.693370285	-3.4	0.6	1.0	0.2	10.18	4.25	1	1	33	33	0.0031	0.0473	2.506892121	1.3251484626	1	0	1	0.5
AT4G22330	GO:0016020/GO:0005794/GO:0016021/GO:0005783/GO:0006672/GO:0006672/GO:0016811/GO:0003824/GO:0005783	S_alt_contig16164	LOC_Os03g49180.1|13103.m05323|cDNA	CUST_16420_PI428634872	S_alt_contig16164	0.041334	0.04155	0.0828834958	0.164981914	0.4987	0.5013	0.7810371597	2.4	6.4	6.8	5.9	0.24	12.40	1	1	33	33	0.6268	0.0013	0.2028683112	2.8926718051	0	1	1	0.5
NA		S_alt_contig16174_NB		CUST_16422_PI428634872	S_alt_contig16174_NB	0.005342	0.087373	0.0927151566	0.2467706815	0.057621	0.942379	0.6743127869	22.0	26.0	26.4	25.6	32.67	14.70	1	1	33	33	<.0001	0.0005	5.652087971	3.2696372079	1	1	2	1
AT5G13530	GO:0043621/GO:0009738/GO:0005802/GO:0009737/GO:0004842/GO:0005515/GO:0006952/GO:0032940/GO:0005737/GO:0005515/GO:0009738/GO:0004842/GO:0009738/GO:0016197/GO:0016567/GO:0000956/GO:0000956/GO:0004672/GO:0009738/GO:0009788/GO:0048589/GO:0005515/GO:0005737/GO:0005769/GO:0004672/GO:0009788/GO:0004672/GO:0016567/GO:0032940/GO:0005802/GO:0005769/GO:0009738/GO:0004672/GO:0009738/GO:0016197/GO:0016567	S_alt_contig16207	LOC_Os05g32570.1|13105.m03356|cDNA	CUST_16427_PI428634872	S_alt_contig16207	0	0.01481	0.0148095576	0.0223040607	0	1	0.3739571781	-37.5	-35.5	-35.4	-35.7	11.49	8.22	1	1	33	33	0.0018	0.0072	2.7384536608	2.1447105777	1	1	2	1
AT1G52980	GO:0042254/GO:0005525/GO:0005525/GO:0005525/GO:0005634/GO:0003924/GO:0005525/GO:0005525/GO:0005525	S_alt_contig16210	LOC_Os03g22890.2|13103.m02768|cDNA	CUST_16428_PI428634872	S_alt_contig16210	0	0.147118	0.147117936	0.1888058596	0	1	0.265323666	38.3	40.3	40.4	40.1	3.16	8.76	1	1	33	33	0.0847	0.0057	1.0722940197	2.2465174159	0	1	1	0.5
AT3G07340	GO:0005634/GO:0006355/GO:0003700/GO:0006355/GO:0003677/GO:0006355/GO:0003700	S_5sp_contig27218	LOC_Os08g41320.1|13108.m04434|cDNA BHLH transcription factor, putative, expressed	CUST_1642_PI428634872	S_5sp_contig27218	0.076245	0.305053	0.3812974285	1.920741315	0.199961	0.800039	0.8542232985	89.7	93.7	94.0	93.3	78.51	10.91	1	1	47	47	<.0001	0.0018	10.864181305	2.7369012126	1	1	2	1
AT2G30410	GO:0051082/GO:0051082/GO:0000910/GO:0005737/GO:0007021/GO:0005829/GO:0007021/GO:0005737/GO:0007021/GO:0005874/GO:0007021/GO:0005874	S_alt_contig16232	LOC_Os02g57150.1|13102.m06576|cDNA	CUST_16433_PI428634872	S_alt_contig16232	0.020087	0.076376	0.0964636212	0.2282929896	0.208236	0.791764	0.7021159067	19.5	23.5	23.9	23.1	23.63	2.31	1	1	33	33	<.0001	0.1380	4.556861478	0.8601808202	1	0	1	0.5
AT4G00440	GO:0005634/GO:0005634/GO:0003674/GO:0008150/GO:0005634	S_alt_contig16241	LOC_Os10g40250.2|13110.m03729|cDNA	CUST_16436_PI428634872	S_alt_contig16241	0.002211	0.034609	0.0368202397	0.1056753257	0.060059	0.939941	0.6916249349	-16.4	-12.4	-12.1	-12.8	69.25	0.02	1	1	51	51	<.0001	0.8787	10.338860405	0.0561501472	1	0	1	0.5
NA		S_alt_contig16263_NB		CUST_16439_PI428634872	S_alt_contig16263_NB	0.136835	0.721945	0.8587800037	1.3409369032	0.159337	0.840663	0.5018079167	137.6	141.6	141.8	141.1	12.23	3.82	1	1	50	50	0.0010	0.0564	3.002101684	1.2488276034	1	0	1	0.5
NA		S_alt_contig16264_NB		CUST_16440_PI428634872	S_alt_contig16264_NB	0	0.234041	0.2340411405	0.4233927955	0	1	0.4680840067	79.7	81.7	81.8	81.5	44.86	0.02	1	1	51	51	<.0001	0.9005	7.787150896	0.0455291172	1	0	1	0.5
AT5G60920	GO:0010015/GO:0009664/GO:0005886/GO:0010817/GO:0030243/GO:0043481/GO:0071555/GO:0009825/GO:0000272/GO:0003674/GO:0008361/GO:0009750/GO:0009930/GO:0009832/GO:0007389/GO:0016049/GO:0031225/GO:0009897/GO:0009651/GO:0005982/GO:0006833/GO:0009897/GO:0048767/GO:0000271/GO:0006972/GO:0010215/GO:0006816/GO:0009651/GO:0005886/GO:0009266/GO:0006096/GO:0009651/GO:0009825/GO:0007030/GO:0009932/GO:0008361/GO:0046658/GO:0030243/GO:0009926/GO:0048767/GO:0040007/GO:0010215/GO:0046658/GO:0005982/GO:0009932/GO:0071555/GO:0031225/GO:0031225/GO:0007030/GO:0006972/GO:0006096/GO:0009664/GO:0009505/GO:0046686/GO:0009651	S_alt_contig16267	LOC_Os05g32110.1|13105.m03300|cDNA	CUST_16441_PI428634872	S_alt_contig16267	0.054894	0.291307	0.3462009372	0.571115537	0.158562	0.841438	0.5273443619	93.9	97.9	98.1	97.5	2.18	15.56	1	1	51	51	0.1459	0.0002	0.8359138124	3.6104540852	0	1	1	0.5
AT4G25130	GO:0009570/GO:0009941/GO:0009570/GO:0034599/GO:0006464/GO:0006546/GO:0034599/GO:0009507/GO:0008113/GO:0009941/GO:0034599/GO:0008113/GO:0009570/GO:0009570/GO:0006464/GO:0009941/GO:0009570/GO:0016671/GO:0009941/GO:0055114/GO:0009570/GO:0005739/GO:0006464/GO:0009416/GO:0006546/GO:0009570/GO:0034599/GO:0009570/GO:0009507/GO:0034599/GO:0034599/GO:0019538/GO:0009570/GO:0009570/GO:0009570/GO:0008113/GO:0009507/GO:0009507/GO:0009570	S_alt_contig16268	LOC_Os10g41400.1|13110.m03859|cDNA	CUST_16442_PI428634872	S_alt_contig16268	0.026134	0.018719	0.0448525873	0.1359317929	0.582665	0.417335	0.8747109394	-41.3	-37.3	-37.0	-37.7	7.23	14.60	1	1	51	51	0.0096	0.0004	2.0157023391	3.4407887878	0	1	1	0.5
AT4G25130	GO:0009570/GO:0009941/GO:0009570/GO:0034599/GO:0006464/GO:0006546/GO:0034599/GO:0009507/GO:0008113/GO:0009941/GO:0034599/GO:0008113/GO:0009570/GO:0009570/GO:0006464/GO:0009941/GO:0009570/GO:0016671/GO:0009941/GO:0055114/GO:0009570/GO:0005739/GO:0006464/GO:0009416/GO:0006546/GO:0009570/GO:0034599/GO:0009570/GO:0009507/GO:0034599/GO:0034599/GO:0019538/GO:0009570/GO:0009570/GO:0009570/GO:0008113/GO:0009507/GO:0009507/GO:0009570	S_alt_contig16269	LOC_Os10g41400.1|13110.m03859|cDNA	CUST_16443_PI428634872	S_alt_contig16269	0.033207	0.019187	0.0523938902	0.1200711341	0.633799	0.366201	0.8547349639	-39.4	-35.4	-35.1	-35.8	7.59	6.52	1	1	51	51	0.0081	0.0137	2.0911303647	1.8633721493	1	0	1	0.5
AT3G18170	GO:0016757/GO:0005576	S_5sp_contig27318	LOC_Os12g13640.1|13112.m01450|cDNA glycosyltransferase, putative, expressed	CUST_1644_PI428634872	S_5sp_contig27318	0.37852	0.712043	1.0905635754	2.6815861007	0.347087	0.652913	0.7569209744	141.8	145.8	146.0	145.3	17.97	5.24	1	1	51	51	<.0001	0.0263	4.02578444	1.5802771945	1	0	1	0.5
AT5G05780	GO:0043161/GO:0005737/GO:0000502/GO:0043161/GO:0042023/GO:0005829/GO:0008541/GO:0005737/GO:0051788/GO:0043161/GO:0080129/GO:0006511/GO:0042023/GO:0051510/GO:0043248/GO:0042023/GO:0006511/GO:0009965/GO:0051510/GO:0003674/GO:0006511	S_alt_contig16294	LOC_Os04g56646.1|13104.m05906|cDNA	CUST_16451_PI428634872	S_alt_contig16294	0.002356	0.019007	0.0213630036	0.0296993484	0.110274	0.889726	0.403264201	-46.1	-42.1	-41.8	-42.5	9.39	4.07	1	1	51	51	0.0035	0.0489	2.4575856706	1.3104068462	1	0	1	0.5
AT1G42970	GO:0055114/GO:0006006/GO:0009535/GO:0015994/GO:0009507/GO:0031408/GO:0010207/GO:0009416/GO:0009941/GO:0009535/GO:0009570/GO:0009941/GO:0019288/GO:0006098/GO:0009535/GO:0009535/GO:0009535/GO:0010304/GO:0050661/GO:0009570/GO:0009902/GO:0010114/GO:0009657/GO:0009409/GO:0009507/GO:0009570/GO:0009941/GO:0042744/GO:0009744/GO:0042742/GO:0009409/GO:0047100/GO:0010155/GO:0006098/GO:0015995/GO:0015995/GO:0006096/GO:0009409/GO:0016620/GO:0019344/GO:0009416/GO:0009941/GO:0042744/GO:0009535/GO:0015994/GO:0009941/GO:0009941/GO:0009535/GO:0009570/GO:0051287/GO:0009570/GO:0009507/GO:0009657/GO:0009637/GO:0010304/GO:0010207/GO:0019253/GO:0009535/GO:0050661/GO:0048046/GO:0042742/GO:0009644/GO:0006636/GO:0010319/GO:0010319/GO:0016020/GO:0009570/GO:0010207/GO:0019344/GO:0006364/GO:0000166/GO:0006364/GO:0019253/GO:0009535/GO:0009570/GO:0009570/GO:0042744/GO:0009409/GO:0006636/GO:0009744/GO:0009570/GO:0006096/GO:0009941/GO:0009941/GO:0009773/GO:0009535/GO:0009507/GO:0009941/GO:0004365/GO:0009941/GO:0046686/GO:0009570/GO:0009941/GO:0009570/GO:0010218/GO:0009902/GO:0009749/GO:0019216/GO:0051287/GO:0009570/GO:0009941/GO:0010304/GO:0031408/GO:0010207/GO:0009773/GO:0046686/GO:0019288/GO:0009773/GO:0010319	S_alt_contig16299	LOC_Os03g03720.2|13103.m00368|cDNA	CUST_16453_PI428634872	S_alt_contig16299	0.361527	0.045116	0.4066426845	0.9389226186	0.889052	0.110948	0.9564449156	8.7	12.7	12.9	12.2	7.72	3.71	1	1	51	51	0.0076	0.0596	2.1167695668	1.2249848617	1	0	1	0.5
AT1G62040	GO:0006914/GO:0006301/GO:0008017/GO:0006301/GO:0006661/GO:0006301/GO:0009507/GO:0006914/GO:0006661	S_alt_contig16300	LOC_Os08g09240.2|13108.m00971|cDNA	CUST_16454_PI428634872	S_alt_contig16300	0.020579	0.027972	0.0485513279	0.2400343347	0.423868	0.576132	0.8935950837	-22.5	-18.5	-18.3	-18.9	48.70	1.68	1	1	51	51	<.0001	0.2009	8.2300109732	0.6970527054	1	0	1	0.5
AT4G33100	GO:0003674/GO:0005634/GO:0008150	S_alt_contig16318_RC	LOC_Os09g19750.2|13109.m01859|cDNA	CUST_16458_PI428634872	S_alt_contig16318_RC	0.018715	0.180032	0.1987470208	0.3358634656	0.094164	0.905836	0.4993552231	67.1	71.1	71.4	70.7	22.50	0.95	1	1	50	50	<.0001	0.3332	4.7466047345	0.4773139926	1	0	1	0.5
AT1G01050	GO:0008152/GO:0005634/GO:0005737/GO:0004427/GO:0009086/GO:0005737/GO:0000394/GO:0019915/GO:0016020/GO:0000287/GO:0004427/GO:0000394/GO:0005737/GO:0009086/GO:0005829	S_alt_contig16343	LOC_Os02g47600.1|13102.m05364|cDNA	CUST_16461_PI428634872	S_alt_contig16343	0.079494	0.114324	0.1938182646	0.3175937724	0.410146	0.589854	0.6711814237	49.2	53.2	53.4	52.7	0.03	10.64	1	1	51	51	0.8689	0.0020	0.061048732	2.7049776704	0	1	1	0.5
AT1G51590	GO:0006491/GO:0009735/GO:0005794/GO:0005768/GO:0006491/GO:0006491/GO:0005794/GO:0005886/GO:0016020/GO:0006491/GO:0004559/GO:0005794/GO:0005802/GO:0048767/GO:0048364/GO:0043161/GO:0006491/GO:0005794/GO:0005794/GO:0004559/GO:0016020/GO:0043161/GO:0051788/GO:0048767/GO:0043248/GO:0043161/GO:0005509/GO:0005794/GO:0006491/GO:0005768/GO:0004571/GO:0005509/GO:0004571/GO:0005794	S_alt_contig16353_RC	LOC_Os04g51690.1|13104.m05278|cDNA	CUST_16463_PI428634872	S_alt_contig16353_RC	0.287698	0.105439	0.3931360471	0.6620221522	0.731801	0.268199	0.8554051076	48.8	52.8	53.1	52.4	8.10	0.04	1	1	51	51	0.0064	0.8377	2.19655509	0.0769056375	1	0	1	0.5
AT5G06600	GO:0005634/GO:0005829/GO:0006511/GO:0004221/GO:0006007/GO:0005829/GO:0006511/GO:0005634/GO:0005634/GO:0004843/GO:0006511/GO:0006511/GO:0004221/GO:0004221/GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0006511	S_alt_contig16358	LOC_Os07g06950.1|13107.m00672|cDNA	CUST_16464_PI428634872	S_alt_contig16358	0.023686	0.032395	0.0560805946	0.1386766155	0.422357	0.577643	0.7866953616	-15.0	-11.0	-10.8	-11.4	8.53	12.07	1	1	51	51	0.0052	0.0011	2.2838460029	2.9774108971	1	1	2	1
AT1G50920	GO:0005634/GO:0016020/GO:0000166/GO:0001510/GO:0005525/GO:0005525/GO:0001510	S_alt_contig16361	LOC_Os06g09570.1|13106.m01033|cDNA	CUST_16465_PI428634872	S_alt_contig16361	0.002839	0.127583	0.1304216887	0.3841104841	0.021767	0.978233	0.6835196533	49.3	53.3	53.6	52.9	68.68	21.28	1	1	51	51	<.0001	<.0001	10.285360281	4.5675432204	1	1	2	1
NA		S_alt_contig16377_NB		CUST_16468_PI428634872	S_alt_contig16377_NB	0	0.174251	0.1742510011	0.269229424	0	1	0.3772022048	64.7	66.7	66.8	66.5	30.45	0.44	1	1	51	51	<.0001	0.5113	5.9379482386	0.2913585581	1	0	1	0.5
NA		S_alt_contig16419_NB		CUST_16475_PI428634872	S_alt_contig16419_NB	0	0.189879	0.1898791352	0.2138834228	0	1	0.1457314342	69.1	71.1	71.2	70.9	7.67	1.03	1	1	51	51	0.0078	0.3155	2.1078259582	0.501024267	1	0	1	0.5
AT5G01720	GO:0004842/GO:0009407/GO:0005634/GO:0006511/GO:0009407/GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0006511	S_alt_contig16452	LOC_Os11g01780.1|13111.m00093|cDNA	CUST_16483_PI428634872	S_alt_contig16452	0.015569	0.062295	0.0778639826	0.1022032983	0.199947	0.800053	0.4373604073	15.8	19.8	20.0	19.4	8.40	0.59	1	1	51	51	0.0055	0.4456	2.2576114064	0.3510477072	1	0	1	0.5
NA		S_alt_contig16468_NB		CUST_16492_PI428634872	S_alt_contig16468_NB	0	0.025747	0.0257465049	0.1479507529	0	1	0.832546045	-32.8	-30.8	-30.7	-31.0	242.33	11.24	1	1	51	51	<.0001	0.0015	20.28859521	2.8187673129	1	1	2	1
AT5G05170	GO:0006833/GO:0030244/GO:0005886/GO:0006972/GO:0016020/GO:0030244/GO:0009926/GO:0048767/GO:0005886/GO:0005794/GO:0016757/GO:0005794/GO:0006952/GO:0005794/GO:0016049/GO:0043481/GO:0006816/GO:0071555/GO:0007030/GO:0007389/GO:0030243/GO:0030244/GO:0005768/GO:0006972/GO:0009834/GO:0009506/GO:0016759/GO:0009651/GO:0043255/GO:0005886/GO:0007030/GO:0030244/GO:0009833/GO:0005768/GO:0005886/GO:0009266/GO:0009832/GO:0009750/GO:0030243/GO:0009809/GO:0016126/GO:0071555/GO:0008361/GO:0006096/GO:0040007/GO:0016759/GO:0009932/GO:0048767/GO:0046686/GO:0016760/GO:0000271/GO:0010015/GO:0042546/GO:0009809/GO:0008361/GO:0006096/GO:0009932/GO:0009651/GO:0005802/GO:0030244/GO:0008270/GO:0009833/GO:0010817/GO:0009825/GO:0030244	S_alt_contig16526	LOC_Os07g10770.1|13107.m01103|cDNA	CUST_16498_PI428634872	S_alt_contig16526	0.002279	0.73803	0.7403091519	1.6418514751	0.003079	0.996921	0.5681398236	138.4	142.4	142.6	142.0	38.75	26.26	1	1	51	51	<.0001	<.0001	7.0414865029	5.3345853453	1	1	2	1
NA		S_alt_contig16531	LOC_Os09g01000.1|13109.m00003|cDNA	CUST_16500_PI428634872	S_alt_contig16531	0	0.093048	0.0930480516	0.10978306	0	1	0.1844205806	32.7	34.7	34.8	34.5	11.01	0.52	1	1	51	51	0.0017	0.4726	2.775204697	0.3255232126	1	0	1	0.5
AT3G13290	GO:0000166/GO:0005634	S_alt_contig16616	LOC_Os06g19660.2|13106.m02099|cDNA	CUST_16504_PI428634872	S_alt_contig16616	0.002746	0.028617	0.0313629754	0.0409542314	0.087552	0.912448	0.3459390769	-25.6	-21.6	-21.3	-22.0	10.88	1.06	1	1	51	51	0.0018	0.3079	2.7510387213	0.5115796326	1	0	1	0.5
AT4G32551	GO:0045892/GO:0080001/GO:0005515/GO:0009886/GO:0010090/GO:0048507/GO:0009908/GO:0071555/GO:0048519/GO:0048481/GO:0005737/GO:0046982/GO:0006342/GO:0045892/GO:0048765/GO:0006306/GO:0045892/GO:0009616/GO:0071555/GO:0010090/GO:0005515/GO:0005515/GO:0045892/GO:0009887/GO:0010267/GO:0006342/GO:0045892/GO:0007267/GO:0016246/GO:0006346/GO:0016246/GO:0045010/GO:0006346/GO:0006342/GO:0016569/GO:0010051/GO:0010267/GO:0045892/GO:0035196/GO:0007155/GO:0005515/GO:0005515/GO:0005515/GO:0031047/GO:0006306/GO:0045892/GO:0009616/GO:0048765/GO:0005737/GO:0010090/GO:0045892/GO:0009855/GO:0005515/GO:0005515/GO:0048439/GO:0006346/GO:0006306/GO:0005634/GO:0045010/GO:0006346/GO:0031047/GO:0016569/GO:0005515/GO:0035196/GO:0009909/GO:0045892	S_alt_contig16625	LOC_Os01g42260.1|13101.m04339|cDNA	CUST_16505_PI428634872	S_alt_contig16625	0.002895	0.015728	0.0186233555	0.040772042	0.155468	0.844532	0.6424183347	-55.0	-51.0	-50.8	-51.4	21.29	9.36	1	1	51	51	<.0001	0.0035	4.5694841472	2.4520173874	1	1	2	1
AT1G09420	GO:0006006/GO:0050661/GO:0000166/GO:0004345/GO:0050661/GO:0009507/GO:0006006/GO:0050661/GO:0009507/GO:0055114/GO:0055114/GO:0000166/GO:0006006/GO:0009507/GO:0004345/GO:0004345/GO:0050661	S_alt_contig16715	LOC_Os03g20300.3|13103.m12973|cDNA	CUST_16512_PI428634872	S_alt_contig16715	0.0027	0.057414	0.0601140152	0.3743098793	0.044913	0.955087	0.8549835322	9.1	13.1	13.4	12.7	179.39	26.67	1	1	51	51	<.0001	<.0001	17.601674794	5.3940843445	1	1	2	1
ATMG01360	GO:0009060/GO:0005506/GO:0005886/GO:0005751/GO:0022904/GO:0004129/GO:0009055/GO:0009060/GO:0006810/GO:0022900/GO:0022900/GO:0004129/GO:0005739/GO:0005751/GO:0020037/GO:0055114/GO:0004129/GO:0005751/GO:0005507/GO:0022904/GO:0004129/GO:0005751/GO:0016021	S_alt_contig16737	LOC_Os12g33946.1|13112.m08842|cDNA	CUST_16515_PI428634872	S_alt_contig16737	0.025032	0.107739	0.1327712286	0.1978014159	0.188537	0.811463	0.4967288136	43.6	47.6	47.8	47.1	12.94	0.01	1	1	51	51	0.0007	0.9408	3.140038806	0.0265148311	1	0	1	0.5
AT4G37870	GO:0005730/GO:0016036/GO:0005829/GO:0004612/GO:0006094/GO:0009817/GO:0006094/GO:0004611/GO:0005524/GO:0005524/GO:0005829/GO:0005524/GO:0005737/GO:0016036/GO:0005524/GO:0004612/GO:0005634/GO:0016020/GO:0017076/GO:0009817/GO:0005730/GO:0046686/GO:0004612	S_alt_contig16801	LOC_Os03g15050.4|13103.m01762|cDNA	CUST_16519_PI428634872	S_alt_contig16801	0.02889	0.075842	0.104732222	0.1375039502	0.275847	0.724153	0.4934207163	26.7	30.7	31.0	30.3	7.56	0.30	1	1	51	51	0.0082	0.5868	2.0844590464	0.2314843487	1	0	1	0.5
AT4G39090	GO:0009651/GO:0009414/GO:0004197/GO:0009651/GO:0006970/GO:0006833/GO:0006096/GO:0009651/GO:0005576/GO:0046686/GO:0009266/GO:0006508/GO:0009651/GO:0006972/GO:0005773/GO:0005773/GO:0042742/GO:0009269/GO:0005634/GO:0008234/GO:0006972/GO:0009269/GO:0006096/GO:0042742/GO:0006970/GO:0008234/GO:0007030/GO:0007030/GO:0009414/GO:0006508	S_alt_contig16969	LOC_Os02g27030.1|13102.m02936|cDNA	CUST_16525_PI428634872	S_alt_contig16969	0.02217	0.026455	0.0486245179	0.2001708331	0.455937	0.544063	0.879431274	-25.0	-21.0	-20.8	-21.4	38.22	0.11	1	1	51	51	<.0001	0.7426	6.9737436218	0.1292531363	1	0	1	0.5
AT4G39090	GO:0009651/GO:0009414/GO:0004197/GO:0009651/GO:0006970/GO:0006833/GO:0006096/GO:0009651/GO:0005576/GO:0046686/GO:0009266/GO:0006508/GO:0009651/GO:0006972/GO:0005773/GO:0005773/GO:0042742/GO:0009269/GO:0005634/GO:0008234/GO:0006972/GO:0009269/GO:0006096/GO:0042742/GO:0006970/GO:0008234/GO:0007030/GO:0007030/GO:0009414/GO:0006508	S_alt_contig16970	LOC_Os02g27030.1|13102.m02936|cDNA	CUST_16526_PI428634872	S_alt_contig16970	0.024571	0.026717	0.0512880291	0.2103856613	0.479087	0.520913	0.8842165466	-24.3	-20.3	-20.0	-20.7	36.22	0.59	1	1	51	51	<.0001	0.4467	6.717333215	0.3500083737	1	0	1	0.5
AT5G13410	GO:0009535/GO:0018208/GO:0000413/GO:0009535/GO:0009535/GO:0000413/GO:0009535/GO:0009507/GO:0009507/GO:0000413/GO:0009535/GO:0009535/GO:0009535/GO:0018208/GO:0009507/GO:0031977/GO:0003755/GO:0006457/GO:0005528/GO:0003755/GO:0009579/GO:0009543/GO:0006457/GO:0009535/GO:0006457/GO:0009543/GO:0009535/GO:0009535/GO:0018208/GO:0009543/GO:0009543/GO:0009543/GO:0009543/GO:0009543/GO:0009543/GO:0005528	S_mar_contig00108	LOC_Os07g04160.1|13107.m00353|cDNA peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed	CUST_16534_PI428634872	S_mar_contig00108	0.030678	0.030092	0.0607707226	0.2205846753	0.504821	0.495179	0.8756899883	-17.9	-13.9	-13.7	-14.3	30.46	0.00	1	1	51	51	<.0001	0.9872	5.9397246144	0.0055967222	1	0	1	0.5
NA		S_mar_contig00151	LOC_Os03g52594.1|13103.m05728|cDNA CCR4-NOT transcription factor, putative, expressed	CUST_16538_PI428634872	S_mar_contig00151	0.001561	0.015048	0.0166091279	0.0453939742	0.093976	0.906024	0.6900654666	-58.2	-54.2	-54.0	-54.7	38.80	16.06	1	1	51	51	<.0001	0.0002	7.0480710836	3.6979988904	1	1	2	1
AT1G53800	GO:0008150/GO:0005886/GO:0005886	S_mar_contig00194	LOC_Os10g12354.2|13110.m01121|cDNA	CUST_16540_PI428634872	S_mar_contig00194	0.010857	0.076359	0.0872156499	0.1492492732	0.12448	0.87552	0.5239417271	25.1	29.1	29.3	28.7	14.85	6.54	1	1	51	51	0.0003	0.0136	3.4846436128	1.8678248363	1	0	1	0.5
AT5G11770	GO:0080129/GO:0005739/GO:0009853/GO:0008270/GO:0048038/GO:0055114/GO:0008137/GO:0006120/GO:0051788/GO:0005747/GO:0006120/GO:0005739/GO:0006511/GO:0006120/GO:0005747/GO:0005739/GO:0006486/GO:0005747/GO:0006486/GO:0006486/GO:0051539/GO:0005747/GO:0006511/GO:0016651/GO:0006511/GO:0005739/GO:0008137/GO:0009853	S_mar_contig00434_RC	LOC_Os05g45730.1|13105.m04861|cDNA ubiquinone oxidoreductase, putative, expressed	CUST_16552_PI428634872	S_mar_contig00434_RC	0.062263	0.045599	0.1078617982	0.1835633372	0.577246	0.422754	0.7739666308	4.1	8.1	8.3	7.7	0.88	8.56	1	1	51	51	0.3521	0.0051	0.4533072605	2.2910762302	0	1	1	0.5
AT3G17440	GO:0006944/GO:0005886/GO:0005886/GO:0005886/GO:0003674/GO:0005886/GO:0016192/GO:0005886/GO:0006944/GO:0009507/GO:0005886	S_mar_contig00458	LOC_Os03g25390.2|13103.m02994|cDNA novel plant SNARE 11, putative, expressed	CUST_16555_PI428634872	S_mar_contig00458	0.013578	0.010754	0.0243322553	0.0468091987	0.558027	0.441973	0.7908770284	-69.8	-65.8	-65.6	-66.2	9.96	1.81	1	1	51	51	0.0027	0.1840	2.5717619135	0.7352022926	1	0	1	0.5
AT3G17205	GO:0004842/GO:0006464/GO:0005634/GO:0016567/GO:0005622/GO:0042787/GO:0016881/GO:0016881/GO:0006464/GO:0006464/GO:0016567/GO:0006464/GO:0005634/GO:0006464/GO:0006464/GO:0006464/GO:0005622/GO:0016567/GO:0016881/GO:0004842/GO:0000151/GO:0005634/GO:0006464/GO:0042787/GO:0006464/GO:0005622/GO:0006464/GO:0042787/GO:0006464/GO:0006464/GO:0004842/GO:0005622	S_mar_contig00515	LOC_Os05g06690.1|13105.m00719|cDNA	CUST_16560_PI428634872	S_mar_contig00515	0.010536	0.012708	0.0232433225	0.0530197282	0.453272	0.546728	0.7813277584	-62.4	-58.4	-58.2	-58.8	15.23	2.23	1	1	51	51	0.0003	0.1414	3.5526565365	0.8495760199	1	0	1	0.5
